week_num,avg_temp,city,country,lat,lon
14,-1.73,Irkutsk,Russia,52.27,104.33
14,8.41,London,United Kingdom,51.52,-0.11
14,5.29,Bremen,Germany,53.08,8.8
14,-6.44,Saskatoon,Canada,52.13,-106.67
14,9.29,Rio Gallegos,Argentina,-51.63,-69.22
14,6.89,Amsterdam,Netherlands,52.37,4.89
15,5.83,Rio Gallegos,Argentina,-51.63,-69.22
15,8.19,Minsk,Belarus,53.9,27.57
15,7.51,Birmingham,United Kingdom,52.49,-1.86
15,8.93,Amsterdam,Netherlands,52.37,4.89
15,7.84,Bremen,Germany,53.08,8.8
15,8.76,Krakau,Poland,50.08,19.92
15,9.01,London,United Kingdom,51.52,-0.11
15,-1.47,Irkutsk,Russia,52.27,104.33
15,8.74,Berlin,Germany,52.52,13.4
15,7.73,Dublin,Ireland,53.33,-6.25
15,5.27,Saskatoon,Canada,52.13,-106.67
16,1.26,Saskatoon,Canada,52.13,-106.67
16,10.77,Minsk,Belarus,53.9,27.57
16,9.89,Berlin,Germany,52.52,13.4
16,10.53,Krakau,Poland,50.08,19.92
16,8.3,Birmingham,United Kingdom,52.49,-1.86
16,-0.46,Irkutsk,Russia,52.27,104.33
16,9.11,London,United Kingdom,51.52,-0.11
16,8.13,Rio Gallegos,Argentina,-51.63,-69.22
16,9.3,Dublin,Ireland,53.33,-6.25
16,9.46,Amsterdam,Netherlands,52.37,4.89
16,10.14,Bremen,Germany,53.08,8.8
17,8.46,Amsterdam,Netherlands,52.37,4.89
17,6.26,Saskatoon,Canada,52.13,-106.67
17,3.69,Irkutsk,Russia,52.27,104.33
17,9.56,Dublin,Ireland,53.33,-6.25
17,9.51,Krakau,Poland,50.08,19.92
17,8.87,Minsk,Belarus,53.9,27.57
17,9.09,Berlin,Germany,52.52,13.4
17,6.33,Rio Gallegos,Argentina,-51.63,-69.22
17,7.49,Bremen,Germany,53.08,8.8
17,8.96,Birmingham,United Kingdom,52.49,-1.86
17,10.31,London,United Kingdom,51.52,-0.11
18,6.96,Minsk,Belarus,53.9,27.57
18,10.19,Bremen,Germany,53.08,8.8
18,10.63,Berlin,Germany,52.52,13.4
18,11.8,Dublin,Ireland,53.33,-6.25
18,10.0,Krakau,Poland,50.08,19.92
18,11.99,Amsterdam,Netherlands,52.37,4.89
18,6.16,Irkutsk,Russia,52.27,104.33
18,12.36,London,United Kingdom,51.52,-0.11
18,13.04,Saskatoon,Canada,52.13,-106.67
18,11.34,Birmingham,United Kingdom,52.49,-1.86
18,7.9,Rio Gallegos,Argentina,-51.63,-69.22
19,12.51,London,United Kingdom,51.52,-0.11
19,11.56,Birmingham,United Kingdom,52.49,-1.86
19,11.67,Dublin,Ireland,53.33,-6.25
19,13.67,Bremen,Germany,53.08,8.8
19,13.4,Amsterdam,Netherlands,52.37,4.89
19,9.3,Irkutsk,Russia,52.27,104.33
19,14.39,Berlin,Germany,52.52,13.4
19,10.39,Krakau,Poland,50.08,19.92
19,11.56,Minsk,Belarus,53.9,27.57
19,15.24,Saskatoon,Canada,52.13,-106.67
19,5.77,Rio Gallegos,Argentina,-51.63,-69.22
20,6.86,Irkutsk,Russia,52.27,104.33
20,13.63,Minsk,Belarus,53.9,27.57
20,5.86,Rio Gallegos,Argentina,-51.63,-69.22
20,12.07,Krakau,Poland,50.08,19.92
20,11.94,Bremen,Germany,53.08,8.8
20,11.74,Dublin,Ireland,53.33,-6.25
20,11.97,Amsterdam,Netherlands,52.37,4.89
20,13.61,Berlin,Germany,52.52,13.4
20,12.57,London,United Kingdom,51.52,-0.11
20,16.97,Saskatoon,Canada,52.13,-106.67
20,11.59,Birmingham,United Kingdom,52.49,-1.86
21,3.2,Rio Gallegos,Argentina,-51.63,-69.22
21,14.4,Krakau,Poland,50.08,19.92
21,12.84,Dublin,Ireland,53.33,-6.25
21,16.91,Saskatoon,Canada,52.13,-106.67
21,9.27,Irkutsk,Russia,52.27,104.33
21,13.2,Amsterdam,Netherlands,52.37,4.89
21,15.71,Minsk,Belarus,53.9,27.57
21,15.46,Berlin,Germany,52.52,13.4
21,12.83,Bremen,Germany,53.08,8.8
21,13.66,London,United Kingdom,51.52,-0.11
21,13.49,Birmingham,United Kingdom,52.49,-1.86
22,5.99,Rio Gallegos,Argentina,-51.63,-69.22
22,13.14,Irkutsk,Russia,52.27,104.33
22,16.06,Berlin,Germany,52.52,13.4
22,13.17,Minsk,Belarus,53.9,27.57
22,12.21,Birmingham,United Kingdom,52.49,-1.86
22,13.33,Dublin,Ireland,53.33,-6.25
22,13.89,Amsterdam,Netherlands,52.37,4.89
22,13.19,Bremen,Germany,53.08,8.8
22,14.57,Krakau,Poland,50.08,19.92
22,13.54,London,United Kingdom,51.52,-0.11
22,20.71,Saskatoon,Canada,52.13,-106.67
23,20.94,Berlin,Germany,52.52,13.4
23,18.93,Irkutsk,Russia,52.27,104.33
23,14.67,Birmingham,United Kingdom,52.49,-1.86
23,14.49,Dublin,Ireland,53.33,-6.25
23,17.31,Bremen,Germany,53.08,8.8
23,15.94,Krakau,Poland,50.08,19.92
23,16.74,London,United Kingdom,51.52,-0.11
23,16.16,Minsk,Belarus,53.9,27.57
23,3.26,Rio Gallegos,Argentina,-51.63,-69.22
23,17.99,Amsterdam,Netherlands,52.37,4.89
23,22.0,Saskatoon,Canada,52.13,-106.67
24,17.84,Minsk,Belarus,53.9,27.57
24,18.27,Berlin,Germany,52.52,13.4
24,19.89,Saskatoon,Canada,52.13,-106.67
24,14.84,Krakau,Poland,50.08,19.92
24,14.41,Irkutsk,Russia,52.27,104.33
24,2.7,Rio Gallegos,Argentina,-51.63,-69.22
24,19.96,London,United Kingdom,51.52,-0.11
24,16.54,Dublin,Ireland,53.33,-6.25
24,18.99,Bremen,Germany,53.08,8.8
24,20.57,Amsterdam,Netherlands,52.37,4.89
24,18.5,Birmingham,United Kingdom,52.49,-1.86
25,20.39,Bremen,Germany,53.08,8.8
25,16.9,Dublin,Ireland,53.33,-6.25
25,20.27,Krakau,Poland,50.08,19.92
25,20.59,London,United Kingdom,51.52,-0.11
25,1.53,Rio Gallegos,Argentina,-51.63,-69.22
25,20.4,Minsk,Belarus,53.9,27.57
25,18.24,Birmingham,United Kingdom,52.49,-1.86
25,18.66,Irkutsk,Russia,52.27,104.33
25,20.43,Amsterdam,Netherlands,52.37,4.89
25,21.9,Berlin,Germany,52.52,13.4
25,17.93,Saskatoon,Canada,52.13,-106.67
26,15.41,Dublin,Ireland,53.33,-6.25
26,21.07,Saskatoon,Canada,52.13,-106.67
26,15.63,Birmingham,United Kingdom,52.49,-1.86
26,14.97,Irkutsk,Russia,52.27,104.33
26,2.87,Rio Gallegos,Argentina,-51.63,-69.22
26,17.87,Amsterdam,Netherlands,52.37,4.89
26,18.17,Krakau,Poland,50.08,19.92
26,16.94,Minsk,Belarus,53.9,27.57
26,17.99,London,United Kingdom,51.52,-0.11
26,19.3,Berlin,Germany,52.52,13.4
26,17.43,Bremen,Germany,53.08,8.8
27,14.9,Dublin,Ireland,53.33,-6.25
27,18.27,London,United Kingdom,51.52,-0.11
27,20.69,Berlin,Germany,52.52,13.4
27,18.09,Saskatoon,Canada,52.13,-106.67
27,17.24,Irkutsk,Russia,52.27,104.33
27,20.23,Krakau,Poland,50.08,19.92
27,18.79,Minsk,Belarus,53.9,27.57
27,0.6,Rio Gallegos,Argentina,-51.63,-69.22
27,16.09,Birmingham,United Kingdom,52.49,-1.86
27,18.76,Amsterdam,Netherlands,52.37,4.89
27,18.73,Bremen,Germany,53.08,8.8
28,18.07,London,United Kingdom,51.52,-0.11
28,18.73,Minsk,Belarus,53.9,27.57
28,20.06,Irkutsk,Russia,52.27,104.33
28,19.91,Bremen,Germany,53.08,8.8
28,17.74,Saskatoon,Canada,52.13,-106.67
28,23.7,Berlin,Germany,52.52,13.4
28,19.46,Amsterdam,Netherlands,52.37,4.89
28,14.6,Dublin,Ireland,53.33,-6.25
28,15.5,Birmingham,United Kingdom,52.49,-1.86
28,21.61,Krakau,Poland,50.08,19.92
28,-0.46,Rio Gallegos,Argentina,-51.63,-69.22
29,16.33,Bremen,Germany,53.08,8.8
29,20.27,Saskatoon,Canada,52.13,-106.67
